title,synopsis,original title,date,score,type,actors,duration,episodes
Apocalypse: La 2ème guerre mondiale,"Apocalypse: The Second World War(2009) is a six-part French documentary about the Second World War. The documentary is composed exclusively of actual footage of the war as filmed by war correspondents, soldiers, resistance fighters and private citizens. The series is shown in color, with the black and white footage being fully colorized, save for some original color f...",,2009,9.0,"Documentary,History,War","Mathieu Kassovitz,Martin Sheen,Rudolf Hess","5, ,hours, ,12, ,minutes",6
Afrique sauvage,"Africa, the world's wildest continent. David Attenborough takes us on an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles and meet up with some of Africa's amazing wildlife.",Original title: Africa,2013,8.9,Documentary,"David Attenborough,Simon Blakeney,Mark Deeble,Matthew Wright,Mike Fox,Martyn Colbeck,Kate Broome,Bill Rudolph,Kevin Flay,Mark MacEwen,E.O. Wilson,Justin Maguire,Hugh Pearson,Andres Bifani,James Aldred,Warwick Sloss,Olubi Lairumbe,Tim Berrow","6, ,hours",7
Only Fools and Horses,Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,Original title: Only Fools and Horses....,1981–2003,8.9,Comedy,"David Jason,Nicholas Lyndhurst,Roger Lloyd Pack,Buster Merryfield,John Challis,Kenneth MacDonald,Lennard Pearce,Gwyneth Strong,Sue Holderness,Patrick Murray,Tessa Peake-Jones,Paul Barber,John Sullivan,Roy Heather,Denis Lill,Nula Conwell,Steven Woodcock,Julie La Rousse","1, ,hour, ,35, ,minutes",64
Dans leur regard,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,Original title: When They See Us,2019,8.9,"Biography,Crime,Drama","Asante Blackk,Caleel Harris,Ethan Herisse,Marquis Rodriguez,Marsha Stephanie Blake,Kylie Bunbury,John Leguizamo,Niecy Nash,Suzzanne Douglas,Michael Kenneth Williams,Jharrel Jerome,Aunjanue Ellis,Felicity Huffman,Len Cariou,William Sadler,Adepero Oduye,Alexandra Templer,Denia Brache","4, ,hours, ,56, ,minutes",4
Fargo,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",,2014– ,8.9,"Crime,Drama,Thriller","Billy Bob Thornton,Martin Freeman,Allison Tolman,Colin Hanks,Russell Harvard,Bokeem Woodbine,Brad Mann,Kirsten Dunst,Ewan McGregor,Chris Rock,Patrick Wilson,Carrie Coon,Jessie Buckley,Jesse Plemons,Mary Elizabeth Winstead,Jason Schwartzman,David Thewlis,Ted Danson","53, ,minutes",41
Hunter x Hunter,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks for his father who left him when he was younger.",,2011–2014,9.0,"Animation,Action,Adventure","Issei Futamata,Megumi Han,Cristina Valenzuela,Mariya Ise,Michael McConnohie,Erica Mendez,Erika Harlacher,Miyuki Sawashiro,Daisuke Namikawa,Matthew Mercer,Keiji Fujiwara,Keith Silverstein,Wataru Takagi,Tony Oliver,Bill Rogers,Ray Chase,Ben Diskin,Kyle Hebert","24, ,minutes",148
The Office,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",,2005–2013,8.9,Comedy,"Steve Carell,Jenna Fischer,John Krasinski,Rainn Wilson,Leslie David Baker,Brian Baumgartner,Angela Kinsey,Kate Flannery,Phyllis Smith,Creed Bratton,Oscar Nuñez,Mindy Kaling,B.J. Novak,Ed Helms,Paul Lieberstein,Craig Robinson,Ellie Kemper,Zach Woods","22, ,minutes",188
L'attaque des titans,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",Original title: Shingeki no kyojin,2013–2022,9.0,"Animation,Action,Adventure","Yûki Kaji,Marina Inoue,Josh Grelle,Yui Ishikawa,Bryce Papenbrook,Trina Nishimura,Kishô Taniyama,Hiro Shimono,Clifford Chapin,Mike McFarland,Romi Park,Hiroshi Kamiya,Yû Kobayashi,Matthew Mercer,Jessica Calvello,Daisuke Ono,Yoshimasa Hosoya,Ashly Burch","24, ,minutes",86
"Life, l'aventure de la vie","David Attenborough 's legendary BBC crew explains and shows wildlife all over planet earth in 10 episodes. The first is an overview of the challenges facing life, the others are dedicated to hunting, the deep sea and various major evolutionary groups of creatures: plants, primates and other large sections of other vertebrates and invertebrates.",Original title: Life,2009,9.1,Documentary,"Oprah Winfrey,David Attenborough,Doug Allan,Roger Munns,Justine Evans,Jonathan Smith,Michael Pitts,Barrie Britton,Neil Lucas,Kevin Flay,Matthew Swarbrick,Nick Guy,Stephen Lyle,Doug Anderson,Adam Chapman,Martha Holmes,Mike Pitts,Rick Rosenthal","7, ,hours, ,53, ,minutes",11
The Last Dance,"Charting the rise of the 1990's Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.",,2020,9.1,"Documentary,Biography,History","Michael Jordan,Phil Jackson,Scottie Pippen,David Aldridge,Steve Kerr,Michael Wilbon,Andrea Kremer,Deloris Jordan,Bill Wennington,John Paxson,Dennis Rodman,Ahmad Rashad,Bob Costas,David Stern,Jerry Reinsdorf,B.J. Armstrong,Mark Vancil,Sam Smith","8, ,hours, ,11, ,minutes",10
The Civil War,A comprehensive survey of the American Civil War.,,1990,9.0,"Documentary,History,War","David McCullough,Sam Waterston,Julie Harris,Jason Robards,Morgan Freeman,Paul Roebling,Garrison Keillor,George Black,Arthur Miller,Christopher Murney,Charles McDowell,Horton Foote,George Plimpton,Philip Bosco,Terry Courier,Jody Powell,Studs Terkel,Jeremy Irons","11, ,hours, ,20, ,minutes",9
Cowboy Bebop,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,Original title: Kaubôi bibappu,1998–1999,8.9,"Animation,Action,Adventure","Kôichi Yamadera,Unshô Ishizuka,Megumi Hayashibara,Steve Blum,Beau Billingslea,Kevin Seymour,Wendee Lee,Isshin Chiba,Melissa Fahn,Aoi Tada,Hiroshi Naka,Tsutomu Tareki,Miki Nagasawa,Toshihiko Nakajima,Jin Hirao,Skip Stellrecht,Kazuhiro Nakata,Shinpachi Tsuji","24, ,minutes",26
The World at War,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.",,1973–1974,9.2,"Documentary,History,War","Laurence Olivier,Albert Speer,Averell Harriman,Anthony Eden,Siegfried Westphal,Lawrence Durrell,Toshikazu Kase,J. Lawton Collins,Louis Mountbatten,Wynford Vaughan-Thomas,J.B. Priestley,Adolf Galland,Christabel Bielenberg,John J. McCloy,Hasso von Manteuffel,Emmi Bonhoeffer,R.A. Butler,J.G. Smyth","52, ,minutes",26
Rick et Morty,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,Original title: Rick and Morty,2013– ,9.2,"Animation,Adventure,Comedy","Justin Roiland,Chris Parnell,Spencer Grammer,Sarah Chalke,Kari Wahlgren,Dan Harmon,Maurice LaMarche,Tom Kenny,Brandon Johnson,Ryan Ridley,Nolan North,Cassie Steele,Phil Hendrie,Echo Kellum,Keith David,Rob Schrab,Rob Paulsen,Tara Strong","23, ,minutes",52
Game of Thrones,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",,2011–2019,9.2,"Action,Adventure,Drama","Emilia Clarke,Peter Dinklage,Kit Harington,Lena Headey,Sophie Turner,Maisie Williams,Nikolaj Coster-Waldau,Iain Glen,John Bradley,Alfie Allen,Conleth Hill,Liam Cunningham,Gwendoline Christie,Aidan Gillen,Isaac Hempstead Wright,Rory McCann,Nathalie Emmanuel,Jerome Flynn","57, ,minutes",73
Les Soprano,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",Original title: The Sopranos,1999–2007,9.2,"Crime,Drama","James Gandolfini,Lorraine Bracco,Edie Falco,Michael Imperioli,Steven Van Zandt,Robert Iler,Tony Sirico,Jamie-Lynn Sigler,Dominic Chianese,Aida Turturro,Steve Schirripa,Drea de Matteo,Dan Grimaldi,Joseph R. Gannascoli,Sharon Angela,John Ventimiglia,Vincent Curatola,Frank Vincent","55, ,minutes",86
Cosmos,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,,1980,9.3,Documentary,"Carl Sagan,Jaromír Hanzlík,Jonathan Fahn,Alan Belod,Jean Charney,Bill Grant,Bob Hevelone,Ronald A. Hilbert,Victor C. John,Arthur 'Lonne' Lane,Linda Morabito,Larry Soderblom,Cecilia White,Dana Hlavácová,Josef Vinklár","13, ,hours",13
"Avatar, le dernier maître de l'air","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",Original title: Avatar: The Last Airbender,2005–2008,9.3,"Animation,Action,Adventure","Dee Bradley Baker,Zach Tyler Eisen,Mae Whitman,Jack De Sena,Dante Basco,Michaela Jill Murphy,Mako,Grey Griffin,André Sogliuzzo,Cricket Leigh,Mark Hamill,Jennie Kwan,Olivia Hack,Greg Baldwin,Jim Meskimen,James Garrett,Jason Isaacs,James Sie","23, ,minutes",62
Arcane,"Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart.",Original title: Arcane: League of Legends,2021– ,9.4,"Animation,Action,Adventure","Kevin Alejandro,Jason Spisak,Hailee Steinfeld,Harry Lloyd,Toks Olagundoye,JB Blanc,Remy Hii,Dave B. Mitchell,Amirah Vann,Mia Sinclair Jenness,Katie Leung,Josh Keaton,Ella Purnell,Mick Wingert,Erica Lindbeck,Yuri Lowenthal,Abigail Marlowe,Reed Shannon","41, ,minutes",10
Cosmos: Une odyssée à travers l'univers,An exploration of our discovery of the laws of nature and coordinates in space and time.,Original title: Cosmos: A Spacetime Odyssey,2014,9.3,Documentary,"Neil deGrasse Tyson,Christopher Emerson,Keythe Farley,Piotr Michael,Enn Reitel,Stoney Emshwiller,André Sogliuzzo,Kirsten Dunst,Amanda Seyfried,Phil LaMarr,Paul Sorvino,Larry Cedar,Christiane Amanpour,Seth MacFarlane,Fred Tatasciore,Martin Jarvis,Glenn Steinbaum,Maria Frucci","9, ,hours, ,17, ,minutes",13
Blue Planet II,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.",,2017,9.3,Documentary,"David Attenborough,Peter Drost,Roger Munns,Roger Horrocks","6, ,hours, ,4, ,minutes",7
Notre planète,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America.",Original title: Our Planet,2019,9.3,Documentary,David Attenborough,"6, ,hours, ,43, ,minutes",8
Sur écoute,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",Original title: The Wire,2002–2008,9.3,"Crime,Drama,Thriller","Dominic West,Lance Reddick,Sonja Sohn,Wendell Pierce,John Doman,Deirdre Lovejoy,Seth Gilliam,Domenick Lombardozzi,Clarke Peters,Andre Royo,Michael Kenneth Williams,Jim True-Frost,Frankie Faison,Corey Parker Robinson,Delaney Williams,J.D. Williams,Wood Harris,Idris Elba","59, ,minutes",60
Chernobyl,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.",,2019,9.4,"Drama,History,Thriller","Jessie Buckley,Jared Harris,Stellan Skarsgård,Adam Nagaitis,Emily Watson,Paul Ritter,Robert Emms,Sam Troughton,Karl Davies,Michael Socha,Laura Elphinstone,Jan Ricica,Alan Williams,Adrian Rawlins,Con O'Neill,Douggie McMeekin,Nadia Clifford,David Dencik","5, ,hours, ,30, ,minutes",5
Frères d'armes,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.",Original title: Band of Brothers,2001,9.4,"Drama,History,War","Scott Grimes,Damian Lewis,Ron Livingston,Shane Taylor,Donnie Wahlberg,Peter Youngblood Hills,Matthew Leitch,Nicholas Aaron,Philip Barantini,Michael Cudlitz,Dexter Fletcher,Rick Gomez,James Madio,Ross McCall,Doug Allen,George Calil,Nolan Hemmings,Robin Laing","9, ,hours, ,54, ,minutes",10
Breaking Bad,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,,2008–2013,9.4,"Crime,Drama,Thriller","Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt,RJ Mitte,Dean Norris,Bob Odenkirk,Steven Michael Quezada,Jonathan Banks,Giancarlo Esposito,Charles Baker,Jesse Plemons,Christopher Cousins,Laura Fraser,Matt Jones,Michael Shamus Wiles,Lavell Crawford,Ray Campbell","49, ,minutes",62
Planète Terre,"Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition.",Original title: Planet Earth,2006,9.4,Documentary,"David Attenborough,Sigourney Weaver,Nikolay Drozdov,Thomas Anguti Johnston,Huw Cordey,Doug Allan,Mark Linfield,Doug Anderson,Tom Clarke,Dany Cleyet-Marrel,Justine Evans,Mike Holding,Chadden Hunter,Choi Jen,Tania Jenkins,Jonathan Keeling,Michael Kelem,Simon King","8, ,hours, ,58, ,minutes",11
