title,synopsis,original title,date,score,type,actors,duration,episodes
Jujutsu Kaisen,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,,2020– ,8.7,"Animation,Action,Adventure","Junya Enoki,Adam McArthur,Yûichi Nakamura,Yuma Uchida,Asami Seto,Mitsuo Iwata,Chris Tergliafera,Nobunaga Shimazaki,Tomokazu Seki,Mikako Komatsu,Koki Uchiyama,Jun'ichi Suwabe,Tara Sands,Kenjirô Tsuda,Shigeru Chiba,Takaya Kuroda,Amber Lee Connors,Takahiro Sakurai","24, ,minutes",24
Parks and Recreation,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,,2009–2015,8.6,Comedy,"Amy Poehler,Jim O'Heir,Nick Offerman,Chris Pratt,Aubrey Plaza,Aziz Ansari,Retta,Rashida Jones,Adam Scott,Rob Lowe,Jay Jackson,Paul Schneider,Ben Schwartz,Mo Collins,Yvans Jourdain,Jon Glaser,Billy Eichner,James Greene","22, ,minutes",124
Demon Slayer,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.",Original title: Demon Slayer: Kimetsu No Yaiba,2019– ,8.7,"Animation,Action,Adventure","Natsuki Hanae,Zach Aguilar,Abby Trott,Akari Kitô,Aleks Le,Hiro Shimono,Yoshitsugu Matsuoka,Bryce Papenbrook,Doug Erholtz,Johnny Yong Bosch,Brook Chalmers,Takahiro Sakurai,Saori Hayami,Erika Harlacher,Takumi Yamazaki,Shinya Takahashi,Hôchû Ôtsuka,Greg Chun","25, ,minutes",34
Blackadder II,"In the Tudor court of Elizabeth I, Lord Edmund Blackadder strives to win Her Majesty's favour while attempting to avoid a grisly fate should he offend her.",,1986,8.6,Comedy,"Rowan Atkinson,Tony Robinson,Tim McInnerny,Miranda Richardson,Stephen Fry,Patsy Byrne,Tony Aitken,Hugh Laurie,Tom Baker,Holly De Jong,Gabrielle Glaister,Ronald Lacey,Miriam Margolyes,Max Harvey,Simon Jones,Rik Mayall,Cassie Stuart,Bill Wallis","2, ,hours, ,56, ,minutes",6
Sarabhai V/S Sarabhai,"The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Bombay, whose daughter-in-law is from a middle class Delhi background.",,2004–2017,8.8,Comedy,"Satish Shah,Ratna Pathak Shah,Sumeet Raghavan,Rupali Ganguly,Rajesh Kumar,Ghanshyam Nayak,Deven Bhojani,Arvind Vaidya,Shilpa Mehta,Rita Bhaduri,Sheetal Thakkar,Vaibhavi Upadhyay,Aishwarya Sakhuja,Gurpal Singh,Gerald Stone,Aatish Kapadia,Jamnadas Majethia,Meher Acharia-Dar","30, ,minutes",79
Code Geass: Lelouch of the Rebellion,"After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all powerful empire",Original title: Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,2006–2012,8.7,"Animation,Action,Drama","Jun Fukuyama,Takahiro Sakurai,Johnny Yong Bosch,Yukana,Ami Koshimizu,Yuri Lowenthal,Kate Higgins,Karen Strassman,Brian Beacock,Noriaki Sugiyama,Tetsu Shiratori,Akeno Watanabe,Liam O'Brien,Sayaka Ôhara,Kikuko Inoue,Mitsuaki Madono,Kirk Thornton,Deborah Sale Butler","24, ,minutes",54
Formule 1: Pilotes de leur destin,Docuseries following the FIA Formula One World Championship across multiple seasons.,Original title: Formula 1: Drive to Survive,2019– ,8.6,"Documentary,Sport","Valtteri Bottas,Will Buxton,Pierre Gasly,Lewis Hamilton,Charles Leclerc,Kevin Magnussen,Sergio Pérez,Daniel Ricciardo,Kimi Räikkönen,Carlos Sainz,Lance Stroll,Max Verstappen,Sebastian Vettel,Esteban Ocon,Lando Norris,George Russell,Toto Wolff,Romain Grosjean","40, ,minutes",31
Mad Men,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",,2007–2015,8.6,Drama,"Jon Hamm,Elisabeth Moss,Vincent Kartheiser,January Jones,Christina Hendricks,Aaron Staton,Rich Sommer,John Slattery,Kiernan Shipka,Robert Morse,Christopher Stanley,Jessica Paré,Jay R. Ferguson,Michael Gladis,Bryan Batt,Alison Brie,Jared Harris,Kevin Rahm","47, ,minutes",92
Lonesome Dove,Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.,,1989,8.7,"Adventure,Drama,Western","Robert Duvall,Tommy Lee Jones,Danny Glover,Diane Lane,Robert Urich,Frederic Forrest,D.B. Sweeney,Ricky Schroder,Anjelica Huston,Chris Cooper,Timothy Scott,Glenne Headly,Barry Corbin,William Sanderson,Barry Tubb,Gavan O'Herlihy,Steve Buscemi,Frederick Coffin","6, ,hours, ,24, ,minutes",4
Atlanta,"Based in Atlanta, Earn and his cousin Alfred try to make their way in the world through the rap scene. Along the way they come face to face with social and economic issues touching on race, relationships, poverty, status, and parenthood.",,2016– ,8.6,"Comedy,Drama,Music","Donald Glover,Brian Tyree Henry,LaKeith Stanfield,Zazie Beetz,Khris Davis,RJ Walker,Harold House Moore,Matthew Barnes,Myra Lucretia Taylor,Cranston Johnson,Griffin Freeman,Derrick Haywood,Brandon Hirsch,Diane Sellers,Emmett Hunter,Monique Grant,Dennis L.A. White,Rick Holmes","30, ,minutes",39
Star Trek: La nouvelle génération,"Set almost 100 years after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before.",Original title: Star Trek: The Next Generation,1987–1994,8.6,"Action,Adventure,Mystery","Patrick Stewart,Brent Spiner,Jonathan Frakes,LeVar Burton,Marina Sirtis,Michael Dorn,Gates McFadden,Majel Barrett,Wil Wheaton,Colm Meaney,James G. Becker,Denise Crosby,Whoopi Goldberg,Diana Muldaur,Patti Yasutake,Nora Leonhardt,Dennis Madalone,Michelle Forbes","44, ,minutes",176
Ramayan,"An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana.",,1987–1988,9.0,"Adventure,Drama,Family","Arun Govil,Deepika Chikhalia,Sunil Lahri,Arvind Trivedi,Dara Singh,Sanjay Jog,Samir Rajda,Shyamsundar Kalani,Vijay Arora,Bal Dhuri,Jayshree Gadkar,Padma Khanna,Rajni Bala,Mukesh Rawal,Nalin Dave,Aparajita,Lalita Pawar,Renu Dhariwal","30, ,minutes",78
Top Gear,"The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.",,2002– ,8.6,"Adventure,Comedy,Reality-TV","Jeremy Clarkson,Richard Hammond,James May,The Stig,Ben Collins,Chris Harris,Matt LeBlanc,Andrew Flintoff,Paddy McGuinness,Rory Reid,The Stig,Perry McCarthy,Sabine Schmitz,Jason Dawe,Andy Wilman,Chris Evans,Josh Cohen,Tom Chilton","1, ,hour",316
The Bridge: Bron/Broen,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer.",Original title: Bron/Broen,2011–2018,8.6,"Crime,Mystery,Thriller","Sofia Helin,Rafael Pettersson,Sarah Boberg,Dag Malmberg,Kim Bodnia,Puk Scharbau,Thure Lindhardt,Lars Simonsen,Gabriel Flores Jair,Henrik Lundström,Maria Kulle,Julie Carlsen,Emil Birk Hartmann,Anette Lindbäck,Said William Legue,Kristina Brändén Whitaker,Lotte Munk,Vickie Bak Laursen","1, ,hour",38
Deadwood,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.",,2004–2006,8.6,"Crime,Drama,History","Timothy Olyphant,Ian McShane,Molly Parker,Brad Dourif,W. Earl Brown,John Hawkes,Paula Malcomson,Dayton Callie,Leon Rippy,William Sanderson,Robin Weigert,Sean Bridgers,Bree Seanna Wall,Jim Beaver,Jeffrey Jones,Kim Dickens,Powers Boothe,Titus Welliver","55, ,minutes",36
Mahabharat,"When differences between the Kaurava and the Pandava clans, who belong to the same family line, lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation.",,1988–1990,8.9,"Adventure,Drama,History","Harish Bhimani,Nitish Bharadwaj,Mukesh Khanna,Gajendra Chauhan,Praveen Kumar,Arjun,Roopa Ganguly,Puneet Issar,Pankaj Dheer,Gufi Paintal,Girija Shankar,Surendra Pal,Renuka Israni,Nazneen,Virendra Razdan,Vinod Kapoor,Sameer Chitre,Sanjeev Chitre","45, ,minutes",94
It's a Sin,"A chronicle of four friends during a decade in which everything changed, including the rise of AIDS.",,2021,8.7,"Comedy,Drama,History","Olly Alexander,Nathaniel Curtis,Shaun Dooley,Omari Douglas,Lydia West,Keeley Hawes,Neil Ashton,Callum Scott Howells,Toto Bruin,David Carlyle,Tracy Ann Oberman,Delroy Brown,Shaniqua Okwok,Michelle Greenidge,Andria Doherty,Stephen Fry,Ken Christiansen,David Gregan-Jones","3, ,hours, ,59, ,minutes",5
Line of Duty,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit.",,2012–2021,8.7,"Crime,Drama,Mystery","Martin Compston,Vicky McClure,Adrian Dunbar,Craig Parkinson,Gregory Piper,Aiysha Hart,Maya Sondhi,Keeley Hawes,Nigel Boyle,Polly Walker,Paul Higgins,Anneika Rose,Neil Morrissey,Tomi May,Ace Bhatti,Elizabeth Rider,Tony Pitts,Kelly Macdonald","1, ,hour",36
Downton Abbey,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,,2010–2015,8.7,"Drama,Romance","Hugh Bonneville,Phyllis Logan,Elizabeth McGovern,Brendan Coyle,Laura Carmichael,Jim Carter,Michelle Dockery,Joanne Froggatt,Robert James-Collier,Sophie McShera,Lesley Nicol,Maggie Smith,Penelope Wilton,Kevin Doyle,Allen Leech,David Robb,Dan Stevens,Siobhan Finneran","58, ,minutes",52
Haikyuu!!,"Determined to be like the volleyball championship's star player Shouyou, a short boy nicknamed ""the small giant,"" joins his school's volleyball club.",,2014–2020,8.7,"Animation,Comedy,Drama","Ayumu Murase,Kaito Ishikawa,Yu Hayashi,Satoshi Hino,Miyu Irino,Koki Uchiyama,Sôma Saitô,Nobuhiko Okamoto,Yoshimasa Hosoya,Hiroshi Kamiya,Toshiki Masuda,Bryson Baugus,Adam Gibbs,Scott Gibbs,Greg Cote,Justin Doran,Gabriel Regojo,Blake Shepard","24, ,minutes",88
Le retour de Sherlock Holmes,"Sherlock Holmes and Dr Watson solve the mysteries of the devil's foot, Silver Blaze, Wisteria Lodge and the Bruce-Partington Plans.",Original title: The Return of Sherlock Holmes,1986–1988,8.7,"Crime,Drama,Mystery","Jeremy Brett,Edward Hardwicke,Rosalie Williams,Colin Jeavons,Denis Lill,Harry Andrews,Clive Francis,James Hazeldine,Alan Howard,Eric Porter,Eric Sykes,Paul Williamson,Peter Barkworth,Charles Gray,Freddie Jones,Denis Quilley,Patrick Allen,Christopher Benjamin","1, ,hour",11
The Grand Tour,"Follow Jeremy, Richard, and James, as they embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.",,2016– ,8.7,"Comedy,Talk-Show","Jeremy Clarkson,James May,Richard Hammond,Abbie Eaton,Mike Skinner,Simon Pegg,David Hasselhoff,Kiefer Sutherland,Paris Hilton,Jimmy Carr,John Surtees,Jérôme d'Ambrosio,Johan Ackermann,Tim Burton,Roger Daltrey,Michael Ball,Casey Anderson,Brian Johnson","1, ,hour",42
The Crown,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,,2016– ,8.6,"Biography,Drama,History","Claire Foy,Olivia Colman,Imelda Staunton,Matt Smith,Tobias Menzies,Jonathan Pryce,Lesley Manville,Elizabeth Debicki,Dominic West,Senan West,Charles Edwards,Marion Bailey,Victoria Hamilton,Helena Bonham Carter,Vanessa Kirby,Pip Torrens,Sam Phillips,Erin Doherty","58, ,minutes",60
Berserk,"Guts is a skilled swordsman who joins forces with a mercenary group named 'The Band of the Hawk', lead by the charismatic Griffith, and fights with them as they battle their way into the royal court.",Original title: Kenpû Denki Berserk,1997–1998,8.7,"Animation,Action,Adventure","Marc Diraison,Nobutoshi Canna,Carrie Keranen,Kevin T. Collins,Unshô Ishizuka,Carla Tassara,Jon Avner,Yûko Miyamura,Akira Ishida,Tomohiro Nishimura,Toshiyuki Morikawa,Christopher Kromer,Akiko Yajima,Marc Sebastian,Masuo Amada,Jeff Ward,Michelle Newman,Eiji Sekiguchi","23, ,minutes",25
The Shield,Follows the lives and cases of a dirty Los Angeles Police Department cop and the unit under his command.,,2002–2008,8.7,"Crime,Drama,Thriller","Michael Chiklis,Michael Jace,Jay Karnes,CCH Pounder,Walton Goggins,Benito Martinez,Catherine Dent,Cathy Cahlin Ryan,David Rees Snell,Kenny Johnson,David Marciano,Autumn Chiklis,Paula Garcés,Michele Hicks,Melanie Myers,Joel Rosenthal,Matt Corboy,Chaney Kley","47, ,minutes",89
The Jinx: The Life and Deaths of Robert Durst,"Filmmaker Andrew Jarecki examines the complicated life of reclusive real estate icon Robert Durst, the key suspect in a series of unsolved crimes.",,2015,8.6,"Documentary,Crime,Mystery","Robert Durst,Andrew Jarecki,Gary Napoli,Debra Kay Anderson,Dick DeGuerin,Michael Simon Hall,Kevin J. Hynes,Jeanine Pirro,Charles Bagli,Susan Berman,Cody Cazalas,Chelsea Gonzalez,Jeszenia Jimenez,Gilberte Najamy,Marc Smerling,Ellen Strauss,Eric Rizk,Bobbi Bacha","4, ,hours, ,39, ,minutes",6
